0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-0.054051,-0.35837,-0.24184,-0.3604,0.42664,0.25306,-0.01879,0.42637,0.0035148,0.55168,0.49815,0.18736,-0.61414,-0.51126,-0.31592,-0.20886,-0.21764,-0.23576,-0.31552,-0.55452,0.16235,0.15019,0.33079,0.52897,5.4766,0.74391
-0.03368,-0.37973,-0.70349,-0.43569,0.36932,0.31903,0.59629,0.36729,0.0032444,0.48382,0.47125,0.19128,-0.53113,-0.48896,-0.27618,-0.16479,-0.50058,-0.19615,-0.49477,-0.7773,0.44137,0.39947,0.44043,0.58453,-0.9156,0.65834
-0.023758,-0.30484,-0.59967,-0.40717,0.30024,0.36959,0.38608,0.3992,0.0033796,0.58494,0.61765,0.3458,-0.64077,-0.59021,-0.33931,-0.31768,-0.40028,-0.11139,-0.56682,-0.60183,0.34066,0.27064,0.57331,0.47098,-3.2029,0.87558
-0.042308,-0.057453,-0.4876,-0.59954,0.39879,0.10206,0.24008,0.38987,0.0033796,0.46233,0.86571,0.39027,-0.64509,-0.48395,-0.54276,-0.31822,-0.30984,-0.66023,-0.33471,-0.75946,0.27875,0.36364,0.4042,0.64225,-3.9925,0.8503
-0.0043227,-0.32687,-0.78041,-0.57358,0.15573,0.26117,0.51707,0.49653,0.0033796,0.46462,0.87599,0.30173,-0.71052,-0.51275,-0.59845,-0.25752,-0.47152,-0.25982,-0.37175,-0.67578,0.33012,0.39663,0.26239,0.72634,2.8625,0.96534
-0.031723,-0.06259,-0.72025,-0.60143,0.28294,0.18142,0.47503,0.65023,0.0032444,0.37757,0.62292,0.41988,-0.53451,-0.41434,-0.39365,-0.38933,-0.52735,-0.33566,-0.47287,-0.64469,0.4753,0.35851,0.52275,0.46922,2.9987,0.67781
-0.027604,-0.013113,-0.80677,-0.73932,0.27996,0.031227,0.48666,0.69268,0.0033796,0.44151,0.69525,0.41569,-0.40068,-0.32363,-0.42853,-0.39947,-0.49274,-0.41298,-0.55993,-0.44218,0.47017,0.47152,0.56655,0.3727,-8.2676,0.4092
-0.0010041,-0.17668,-0.93073,-0.75702,0.033931,0.10071,0.60183,0.63239,0.0035148,0.29051,0.64617,0.28551,-0.4361,-0.33958,-0.37405,-0.25982,-0.37148,-0.30389,-0.036094,-0.38203,0.27402,0.53113,0.027037,0.32214,-3.1688,0.62617
-0.013002,0.091654,-0.51045,-0.69768,0.12396,-0.029605,0.32349,0.48639,0.0033796,0.19994,0.59859,0.26983,-0.42326,-0.21589,-0.39122,-0.15979,-0.17587,-0.39203,-0.025955,-0.12275,0.12829,0.088274,-0.011491,0.078947,2.032,0.55966
0.0074541,0.11247,-0.526,-0.36932,-0.0041907,-0.08503,0.20913,0.46368,0.0035148,0.17385,0.38297,0.21535,-0.10977,-0.1318,-0.21102,-0.24968,-0.32471,-0.35148,-0.077189,0.12342,0.28983,0.33782,0.12288,-0.013924,2.3452,0.21724
0.01661,0.26401,-0.57966,-0.34904,-0.12031,-0.10652,0.46773,0.27956,0.0035148,-0.067997,0.038122,0.024198,-0.072188,-0.0219,0.031768,-0.0083813,-0.20048,-0.21048,-0.069078,0.16344,0.18845,0.29659,0.011491,-0.21156,-5.9803,0.14586
0.012219,0.27199,-0.19953,-0.60143,-0.21589,-0.307,0.10625,0.55249,0.0033796,0.013924,0.015681,0.11626,0.0093276,0.079623,-0.041636,-0.076108,0.047855,0.045421,0.28253,0.33647,-0.049883,-0.05191,-0.2774,-0.36594,-3.9279,-0.14884
0.033033,0.21724,-0.42529,-0.15222,-0.18628,-0.36094,0.17804,0.19872,0.0032444,-0.15249,0.020548,-0.15722,0.26834,0.18926,0.015546,0.089491,0.26942,0.1268,0.42921,0.71525,-0.1756,0.038122,-0.43678,-0.35715,-6.8823,-0.20318
0.031552,0.35121,-0.18263,-0.2774,-0.33999,-0.031903,0.1802,0.12194,0.0033796,-0.30389,-0.40812,0.017033,0.22792,0.24928,0.24833,0.16817,0.19642,0.15992,0.39798,0.47949,-0.15992,-0.33701,-0.35134,-0.53046,-0.19741,-0.29172
0.018533,0.49234,-0.034066,-0.19196,-0.20372,-0.47328,-0.048531,0.33066,0.0032444,-0.27888,-0.36824,-0.2094,0.46449,0.3558,0.25171,0.063942,0.36297,0.16871,0.1825,0.6624,-0.25766,-0.32782,-0.22873,-0.51762,-14.197,-0.62157
0.043806,0.40325,0.057318,0.015276,-0.39365,-0.41407,-0.0097332,-0.058805,0.002974,-0.38743,-0.39081,-0.15695,0.45219,0.35742,0.32714,0.19493,0.4407,0.50018,0.46273,0.73323,-0.40812,-0.25185,-0.44191,-0.55641,0.31314,-0.49274
0.048996,0.25414,0.20886,0.16168,-0.54073,-0.23711,-0.080975,-0.11504,0.0032444,-0.31106,-0.55736,-0.28226,0.41947,0.45165,0.33958,0.36486,0.70133,0.50423,0.72039,0.56723,-0.45976,-0.63347,-0.69038,-0.58534,8.5501,-0.53208
0.024183,0.40298,0.3116,0.12194,-0.21278,-0.51275,-0.3024,0.0050018,0.0031092,-0.4169,-0.59656,-0.39811,0.71904,0.50626,0.40852,0.2678,0.5552,0.63955,0.22819,0.59967,-0.55979,-0.54181,-0.2509,-0.36094,-1.804,-0.87409
0.036147,0.45989,0.35418,0.19804,-0.36675,-0.13018,-0.13302,-0.34661,0.0032444,-0.46381,-0.84625,-0.16709,0.61089,0.34526,0.55506,0.32052,0.4242,0.52437,0.29619,0.54276,-0.22521,-0.57764,-0.26942,-0.44029,-5.6944,-0.76189
0.034139,0.31511,0.35729,0.48558,-0.24914,-0.26023,-0.25712,-0.18682,0.0031092,-0.25982,-0.61143,-0.39838,0.38581,0.4315,0.35215,0.31119,0.56317,0.48436,0.31038,0.44678,-0.46043,-0.57196,-0.24657,-0.39663,-9.6869,-0.56101
0.027042,0.15789,0.51559,0.20088,-0.36148,-0.29281,-0.37162,-0.11801,0.0031092,-0.22954,-0.44421,-0.30605,0.39203,0.1806,0.32593,0.30849,0.59764,0.52546,0.47503,0.34837,-0.47382,-0.31822,-0.50869,-0.14451,7.3282,-0.40109
0.021171,0.1145,0.35134,0.32471,-0.18196,-0.16546,-0.085706,-0.45421,0.0031092,-0.17858,-0.74229,-0.34418,0.21643,0.26766,0.47395,0.44543,0.3289,0.3047,0.15249,0.20048,-0.2997,-0.40366,-0.16655,-0.27348,-2.3111,-0.30538
